area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance
70,2,1,1,7,acept,furnished,2065,3300,211,42
320,4,4,0,20,acept,not furnished,1200,4960,1750,63
80,1,1,1,6,acept,not furnished,1000,2800,0,41
51,2,1,0,2,acept,not furnished,270,1112,22,17
25,1,1,0,1,not acept,not furnished,0,800,25,11
376,3,3,7,-,acept,not furnished,0,8000,834,121
72,2,1,0,7,acept,not furnished,740,1900,85,25
213,4,4,4,4,acept,not furnished,2254,3223,1735,41
152,2,2,1,3,acept,furnished,1000,15000,250,191
35,1,1,0,2,acept,furnished,590,2300,35,30
26,1,1,0,2,acept,furnished,470,2100,150,27
46,1,1,1,10,acept,not furnished,550,580,43,8
36,1,1,0,11,acept,not furnished,359,2100,70,27
55,1,1,1,2,acept,furnished,790,4200,224,54
100,2,2,2,24,acept,furnished,900,4370,17,56
330,4,6,6,-,acept,furnished,680,8000,328,121
110,2,2,1,1,acept,not furnished,700,3000,122,39
88,2,3,1,9,not acept,furnished,1614,3500,221,16
56,2,1,0,8,acept,not furnished,800,1220,0,16
600,4,5,6,-,acept,not furnished,0,12000,9500,181
100,7,4,0,-,acept,not furnished,0,3800,118,58
42,1,1,1,17,not acept,furnished,470,2690,172,36
160,3,2,2,18,acept,furnished,1530,1900,167,25
35,1,1,0,-,acept,not furnished,0,1100,3,14
90,3,2,1,7,acept,not furnished,800,1800,118,24
49,1,1,1,10,acept,not furnished,480,3500,42,45
41,1,1,1,5,not acept,furnished,600,3000,0,39
64,2,2,1,11,acept,not furnished,352,1500,80,20
208,3,2,4,-,acept,not furnished,0,3180,100,48
20,1,1,0,5,acept,furnished,602,1800,130,23
55,2,2,2,6,acept,not furnished,780,1068,142,14
32,1,1,0,3,acept,not furnished,515,1700,29,22
80,2,2,1,11,acept,not furnished,1208,2550,216,33
45,1,1,1,10,acept,furnished,2450,2500,593,33
350,4,4,3,8,acept,not furnished,2100,4000,500,51
38,1,1,2,11,not acept,not furnished,450,1750,0,26
30,1,1,0,1,acept,not furnished,460,1600,0,21
80,3,2,1,-,acept,not furnished,0,11000,425,181
70,2,1,0,-,not acept,not furnished,0,1150,59,18
40,1,1,1,6,acept,furnished,390,2990,0,44
300,4,6,4,20,acept,not furnished,3700,12000,1584,153
240,3,2,3,-,acept,not furnished,0,3500,292,53
200,4,2,1,7,not acept,not furnished,850,2550,9,34
45,1,1,1,5,acept,not furnished,500,1631,192,12
360,4,5,0,1,acept,not furnished,4000,6410,2000,82
40,1,1,1,10,acept,furnished,978,2829,0,33
100,3,1,0,13,not acept,not furnished,700,1220,10,17
42,1,1,2,2,acept,furnished,190,1770,17,26
250,3,3,2,1,acept,not furnished,2200,1700,256,22
48,1,1,1,2,acept,furnished,505,1600,59,21
90,3,3,1,10,acept,not furnished,1250,3800,147,49
45,1,2,1,15,acept,furnished,856,3900,150,50
150,2,3,4,6,acept,not furnished,1700,4000,700,52
60,2,1,0,2,acept,not furnished,200,1445,0,19
31,1,1,0,4,acept,not furnished,370,2350,56,30
210,4,5,4,4,not acept,not furnished,1650,9000,772,115
280,3,1,2,-,acept,not furnished,0,6000,113,91
93,2,3,2,9,acept,not furnished,663,5500,133,70
75,3,2,1,9,acept,not furnished,340,1800,109,27
194,3,4,3,-,acept,not furnished,0,4000,70,61
41,1,1,1,6,acept,furnished,523,4000,131,51
65,1,1,1,8,acept,furnished,2000,5100,250,66
70,2,1,1,13,acept,not furnished,761,2150,67,28
278,4,5,2,16,acept,furnished,4052,9000,1261,115
35,1,1,0,5,acept,not furnished,306,1521,21,20
300,4,4,3,2,acept,not furnished,2300,6000,417,77
61,2,1,1,4,acept,not furnished,459,1850,0,24
130,3,2,1,7,acept,not furnished,1660,1700,475,22
80,2,1,1,20,acept,not furnished,500,900,90,12
164,4,4,2,6,not acept,not furnished,2159,5000,386,64
220,4,2,3,3,acept,not furnished,450,2422,125,33
45,1,1,0,-,acept,not furnished,0,1050,46,16
108,3,2,2,7,acept,not furnished,1290,5600,435,71
128,1,1,0,4,acept,furnished,418,2100,182,28
60,1,1,0,10,not acept,not furnished,450,1800,48,24
250,4,5,4,6,acept,not furnished,2050,9800,998,125
47,1,1,1,1,not acept,furnished,400,2200,0,33
170,4,3,4,9,not acept,not furnished,744,2700,296,36
45,1,1,0,1,not acept,not furnished,300,1240,0,16
42,1,1,1,15,acept,not furnished,686,3500,123,45
164,4,4,3,1,acept,not furnished,1840,6000,550,77
70,3,1,1,1,acept,not furnished,700,1020,200,13
100,4,3,1,8,acept,not furnished,600,2200,159,33
64,2,2,2,4,acept,furnished,1300,4500,440,58
68,2,1,1,3,acept,not furnished,320,1200,27,16
75,2,2,2,14,not acept,not furnished,620,2500,264,34
600,4,4,4,9,acept,not furnished,7400,8500,3368,108
63,2,2,0,15,not acept,not furnished,590,1550,152,20
145,3,4,3,1,not acept,not furnished,1200,6000,750,77
85,2,2,2,3,not acept,not furnished,1500,2800,292,36
254,4,4,4,7,acept,not furnished,3366,9000,1800,115
350,4,4,4,-,acept,furnished,1,9000,359,160
300,4,4,3,-,acept,not furnished,0,3500,584,53
296,4,3,2,-,acept,not furnished,0,13500,423,222
64,2,2,2,8,acept,not furnished,450,2800,30,36
133,3,2,0,6,acept,not furnished,813,2957,38,38
44,1,1,0,7,acept,not furnished,350,550,12,7
240,3,4,2,-,acept,not furnished,0,3000,250,46
70,3,2,1,4,acept,not furnished,490,2500,8,37
22,1,1,0,26,acept,not furnished,302,2050,45,26
50,1,1,1,1,acept,not furnished,350,950,50,14
67,3,2,2,4,acept,not furnished,600,2200,50,33
31,1,1,0,6,acept,furnished,430,2300,0,30
90,2,1,1,1,acept,furnished,850,3468,191,45
109,3,3,1,1,acept,not furnished,2000,3800,300,49
400,4,2,2,-,not acept,not furnished,0,2500,74,41
300,4,5,4,-,acept,furnished,0,14000,1167,211
284,4,3,3,4,acept,not furnished,2340,6000,483,77
70,2,1,1,3,acept,furnished,360,2400,30,36
309,4,5,4,7,acept,not furnished,2661,6500,682,84
70,2,1,0,-,acept,not furnished,0,2100,134,32
360,3,4,1,10,acept,not furnished,2300,10000,584,127
30,1,1,1,10,not acept,not furnished,886,1500,0,20
80,2,2,2,11,acept,not furnished,832,2200,171,28
133,4,4,3,6,not acept,not furnished,1500,7000,800,94
38,1,1,1,14,not acept,furnished,1620,2800,279,36
73,2,2,1,7,acept,not furnished,1100,3500,100,45
155,3,4,2,4,acept,not furnished,1500,2000,150,26
63,2,2,1,15,acept,not furnished,357,3200,50,41
58,2,1,1,1,acept,not furnished,0,1400,0,18
48,1,1,0,9,not acept,furnished,377,3450,0,44
210,3,4,3,7,acept,not furnished,1700,2790,834,36
100,3,2,2,2,acept,not furnished,340,1600,183,22
94,3,2,2,1,acept,not furnished,1337,3570,140,46
94,3,3,2,3,acept,furnished,1220,5010,395,64
76,3,1,1,4,acept,not furnished,1200,2500,267,32
192,3,3,2,13,acept,not furnished,2100,7800,634,99
217,3,4,3,1,acept,not furnished,2884,6500,0,83
68,2,1,1,5,acept,not furnished,610,1400,35,18
110,3,2,2,2,acept,not furnished,1145,2400,247,31
95,2,2,1,3,acept,not furnished,660,1600,164,22
