area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance
700,4,7,8,-,acept,not furnished,0,45000,8750,677
350,3,3,3,-,acept,not furnished,0,30000,560,451
486,8,4,6,-,acept,not furnished,0,25000,2200,376
318,4,3,0,-,acept,not furnished,0,19000,384,338
80,2,1,1,1,acept,not furnished,875,24000,0,305
900,3,4,8,-,acept,not furnished,0,20000,3813,301
540,6,8,3,-,acept,not furnished,0,15000,467,267
425,4,4,0,-,acept,not furnished,0,15000,750,267
200,4,3,0,-,not acept,not furnished,0,15000,834,267
350,3,3,3,-,acept,not furnished,0,15000,667,267
660,4,5,5,12,acept,furnished,4800,20000,1750,254
315,3,5,2,14,not acept,not furnished,4300,20000,959,254
410,4,5,5,1,acept,not furnished,0,20000,0,254
233,4,6,4,-,acept,not furnished,0,14000,584,249
455,4,5,4,5,acept,not furnished,8500,19500,3334,248
465,7,7,2,-,acept,furnished,0,15000,435,246
700,7,6,5,-,acept,not furnished,0,15000,1161,246
500,7,6,3,-,acept,not furnished,0,15000,384,246
802,6,6,8,-,acept,furnished,0,15000,1003,246
400,6,4,0,-,acept,not furnished,0,15000,375,246
1000,5,7,8,-,acept,not furnished,0,14980,1904,246
449,5,7,4,-,acept,not furnished,0,15000,308,246
580,5,6,5,-,not acept,not furnished,0,15000,1153,246
474,5,5,7,-,acept,not furnished,0,15000,990,246
649,5,5,6,-,acept,furnished,0,15000,1065,246
350,5,4,4,-,acept,not furnished,0,15000,1320,246
300,5,4,3,-,acept,not furnished,0,15000,417,246
600,5,3,6,-,acept,not furnished,0,15000,1667,246
650,4,6,5,-,acept,furnished,0,13800,650,246
500,4,6,4,-,not acept,not furnished,0,15000,434,246
500,4,4,6,-,acept,not furnished,0,15000,1021,246
260,4,4,2,-,acept,not furnished,0,15000,203,246
200,4,3,2,-,acept,not furnished,0,15000,456,246
200,4,3,0,-,acept,not furnished,0,15000,36,246
200,4,3,2,-,acept,not furnished,0,14500,403,238
100,3,2,1,-,acept,not furnished,0,14500,423,238
800,8,7,4,-,acept,not furnished,0,14000,834,230
471,5,6,3,-,acept,not furnished,0,14000,1297,230
150,5,5,5,-,acept,furnished,0,14000,835,230
550,5,5,3,-,acept,not furnished,0,14000,364,230
303,3,4,4,1,acept,furnished,4540,18000,0,229
650,5,7,4,-,acept,furnished,4100,15000,4241,229
400,4,4,2,-,acept,not furnished,2000,15000,917,229
700,5,5,4,-,acept,furnished,1380,15000,1667,229
439,13,4,3,-,acept,not furnished,0,15000,667,229
250,7,3,0,-,acept,not furnished,0,15000,0,229
800,5,7,5,-,acept,not furnished,0,15000,334,229
625,5,3,2,-,acept,not furnished,0,15000,1250,229
290,4,4,0,-,acept,not furnished,0,15000,750,229
350,3,2,3,-,acept,not furnished,0,15000,834,229
600,4,5,3,-,acept,not furnished,6500,15000,334,226
692,5,6,5,-,acept,not furnished,4500,15000,1667,226
445,3,5,4,-,acept,furnished,3191,15000,1339,226
999,4,5,6,-,acept,not furnished,2500,15000,2500,226
800,4,7,4,-,acept,not furnished,2100,15000,1898,226
900,3,6,8,-,acept,not furnished,2000,15000,1834,226
280,3,4,2,-,not acept,furnished,2000,15000,684,226
220,3,4,2,-,acept,not furnished,400,15000,834,226
999,5,7,4,-,not acept,not furnished,100,15000,459,226
800,5,7,6,-,acept,not furnished,1,15000,2051,226
998,7,10,4,-,acept,furnished,0,15000,5000,226
645,5,8,8,-,acept,not furnished,0,15000,2334,226
650,5,8,7,-,acept,furnished,0,15000,2667,226
700,5,7,5,-,acept,not furnished,0,15000,2240,226
678,5,6,4,-,acept,not furnished,0,15000,3000,226
550,5,6,4,-,acept,not furnished,0,15000,1119,226
550,5,6,0,-,acept,furnished,0,15000,1435,226
560,5,5,6,-,acept,not furnished,0,15000,1917,226
900,5,5,5,-,not acept,not furnished,0,15000,3334,226
300,5,4,7,-,acept,not furnished,0,15000,2292,226
210,5,4,1,-,acept,not furnished,0,15000,1667,226
250,5,3,6,-,acept,not furnished,0,15000,2704,226
700,4,10,0,-,acept,not furnished,0,15000,8750,226
900,4,9,8,1,acept,not furnished,0,15000,5700,226
700,4,7,8,-,acept,furnished,0,15000,2250,226
750,4,7,8,-,acept,furnished,0,15000,1667,226
500,4,7,3,-,acept,not furnished,0,15000,2500,226
900,4,6,8,-,acept,not furnished,0,15000,4417,226
