area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance
120,3,4,3,13,acept,not furnished,1350,5600,560,71
45,1,1,1,1,not acept,furnished,3000,5520,0,70
50,2,1,1,2,acept,not furnished,226,750,0,10
35,1,1,0,1,acept,not furnished,260,1400,0,18
204,4,4,2,-,acept,not furnished,0,3440,100,62
177,3,3,4,2,acept,not furnished,2700,6900,509,89
15,1,1,0,-,not acept,not furnished,0,1200,0,16
70,2,2,1,10,acept,furnished,1800,4200,250,55
180,3,3,2,3,acept,not furnished,700,2700,175,40
180,4,4,2,2,acept,not furnished,2600,2000,584,26
70,2,2,1,2,acept,not furnished,650,1000,45,13
200,3,4,3,6,acept,furnished,1800,5058,1200,65
100,2,2,0,-,acept,not furnished,0,2500,274,38
21,1,1,0,11,acept,not furnished,519,1200,0,16
65,2,1,1,3,acept,not furnished,360,1066,15,16
100,3,2,0,2,not acept,not furnished,815,808,81,11
64,1,2,1,15,acept,furnished,650,8900,154,64
50,1,1,0,5,acept,not furnished,985,2308,138,30
137,3,3,1,9,acept,furnished,1200,5500,303,70
43,1,1,0,6,not acept,not furnished,350,1080,57,14
49,2,1,1,-,acept,not furnished,0,1000,0,13
101,3,2,2,8,acept,furnished,541,4200,142,62
330,4,5,4,-,acept,not furnished,0,6500,750,98
320,8,4,0,-,acept,not furnished,450,10500,350,158
50,3,2,2,-,acept,not furnished,150,2800,30,43
55,1,1,0,14,acept,not furnished,700,1020,29,15
30,1,1,0,16,not acept,furnished,260,1490,15,22
40,1,1,1,2,not acept,furnished,0,970,0,13
73,2,2,1,12,acept,not furnished,700,1250,150,16
240,3,4,2,-,acept,not furnished,1,8200,625,124
38,1,1,0,-,not acept,not furnished,700,1650,0,25
144,4,2,2,6,acept,not furnished,1820,4800,667,61
161,3,3,3,14,acept,not furnished,1300,4500,640,58
85,2,1,1,1,acept,not furnished,400,1600,0,21
162,4,5,3,16,acept,not furnished,1720,3700,525,47
170,3,5,3,7,not acept,not furnished,2091,4500,951,19
620,4,6,4,1,acept,not furnished,8133,15000,4520,191
120,3,2,1,2,acept,not furnished,0,1020,25,15
23,1,1,0,4,not acept,not furnished,550,1500,0,20
135,4,2,1,2,acept,not furnished,600,2200,138,30
48,1,1,0,-,not acept,not furnished,0,1150,34,18
209,4,4,4,11,acept,not furnished,2140,7300,587,98
130,3,3,2,7,acept,not furnished,1200,3500,342,45
83,3,3,2,6,acept,furnished,450,3655,142,49
190,4,3,1,4,acept,not furnished,1570,3500,506,46
400,3,3,4,-,acept,not furnished,0,4250,160,64
250,4,4,4,15,acept,not furnished,2600,15000,1250,191
71,3,1,0,1,acept,not furnished,320,1250,46,19
303,3,4,4,1,acept,furnished,4540,18000,0,229
50,1,1,0,7,acept,furnished,200,1300,12,19
89,3,2,1,7,acept,not furnished,860,1800,70,23
68,2,2,1,3,acept,not furnished,400,1800,82,27
65,3,2,1,2,acept,not furnished,512,1860,135,24
305,3,3,3,8,acept,not furnished,3100,5500,2167,70
300,4,5,5,6,not acept,not furnished,3500,1990,10830,26
63,2,1,0,4,acept,not furnished,600,1110,0,15
35,1,1,0,5,acept,not furnished,270,1300,0,17
50,1,1,0,-,not acept,not furnished,0,1200,0,19
70,2,1,1,7,acept,not furnished,729,900,122,12
76,2,1,1,-,acept,not furnished,0,2000,45,31
48,1,1,0,2,acept,not furnished,309,700,28,11
83,2,3,2,8,acept,not furnished,1555,3200,735,41
100,3,3,0,5,acept,not furnished,820,6330,148,81
40,1,1,0,-,not acept,not furnished,0,2040,70,31
170,3,3,2,-,acept,not furnished,0,8000,209,143
120,3,2,1,1,acept,not furnished,300,2100,149,28
165,3,3,2,2,acept,furnished,1150,2710,84,35
44,1,1,1,2,acept,not furnished,390,1200,74,16
22,1,1,0,11,not acept,furnished,400,1956,50,25
44,1,1,0,4,acept,furnished,270,550,6,9
70,2,1,0,1,not acept,not furnished,350,1050,116,14
288,3,2,2,-,acept,not furnished,0,3700,457,56
250,4,2,1,-,acept,not furnished,0,2700,209,48
25,1,1,0,1,not acept,not furnished,0,1200,35,16
95,3,2,2,14,acept,furnished,1000,4500,325,58
90,1,1,0,-,acept,not furnished,0,2200,109,34
40,2,2,1,2,not acept,not furnished,210,900,0,12
40,1,1,1,2,not acept,not furnished,225,1080,65,14
51,1,1,0,32,not acept,not furnished,429,3250,37,42
150,4,2,2,1,acept,not furnished,1357,3700,211,50
130,3,2,0,-,acept,not furnished,0,1400,10,22
